text,label
Finance daily expenses report - May 2024,report
Performance report: forecast trends and projections,report
Executive summary of expenses by department,report
Service agreement between Vendor and Client,contract
Invoice 9501: training services rendered - Amount due $2000,invoice
Subscription renewed - Email notification received,email
Summary: Sales overview February 2023,report
Message: Status changed. Details sent to your account.,email
Terms and conditions: lease agreement for 24 months period,contract
Terms and conditions: partnership agreement for 36 months period,contract
Electronic invoice from Consulting Group for $7500 (analysis),invoice
Sales quarterly expenses report - May 2023,report
Annual financial analysis and budget forecast,report
Automated email: Update successfully,email
Analysis of statistics and analysis for February,report
Data analytics: KPIs by department and region,report
Lease agreement between Service Provider and Company A,contract
Data analytics: performance by department and region,report
"Contract: license agreement - Parties: Organization, Company B - Duration: 24 months",contract
Email alert: Account updated. Transaction ID: REF-205652,email
"Contract: lease agreement - Parties: Tech Corp, Company B - Duration: 36 months",contract
"Contract: service agreement - Parties: Organization, Organization - Duration: 10 years",contract
INV-2024-8248 - Training - Total: $25000,invoice
Legal lease agreement - Valid from 2024-08-05 for 5 years,contract
Summary: Revenue overview January 2024,report
Email alert: Account updated. Transaction ID: REF-905291,email
Invoice 4011: consulting services services rendered - Amount due $2000,invoice
Legal lease agreement - Valid from 2024-04-10 for 2 years,contract
Executive summary of sales by department,report
Agreement document: confidential agreement valid for 10 years,contract
Automated email: Status changed successfully,email
Product annual metrics report - June 2024,report
You have a new email: Order confirmed,email
INVOICE - Vendor: IT Services - Amount: $5000 - Date: March,invoice
Payment invoice #3342 - Hosting - $15000,invoice
Automated email: Order confirmed successfully,email
Service agreement between Client and Partner,contract
Invoice number 9730 from November for software licenses amount $20000,invoice
Email from alerts@system.com: Notification. Reference: REF-199143,email
Your payment has been received - Email notification received,email
Maintenance contract between Company B and Tech Corp,contract
Executive summary of performance by department,report
"Hello, Action required. Ref: REF-775656",email
"Hello, Order confirmed. Ref: REF-438873",email
Performance report: forecast trends and projections,report
Service agreement and maintenance contract for 24 months,contract
Email confirmation: Your payment of $3200 has been received successfully,email
Electronic invoice from Acme Inc for $3000 (hosting),invoice
"Hello, Status changed. Ref: REF-633479",email
"Hello, Notification. Ref: REF-271146",email
Data analytics: sales by department and region,report
Your payment has been processed. Reference: PAY-2024-001,email
Message: Your payment has been received. Details sent to your account.,email
INV-2024-5482 - Training - Total: $15000,invoice
Invoice 1656: support services services rendered - Amount due $1000,invoice
Factura #9000 - Creative Studio - $5000 (July),invoice
Agreement document: maintenance contract valid for 24 months,contract
Automated email: Subscription renewed successfully,email
Invoice 1793: support services services rendered - Amount due $7500,invoice
INVOICE - Vendor: Acme Inc - Amount: $3000 - Date: September,invoice
Electronic invoice from Creative Studio for $10000 (consulting services),invoice
Terms and conditions: service agreement for 10 years period,contract
"Contract: employment contract - Parties: Tech Corp, Client - Duration: 12 months",contract
Contract ID #93099: confidential agreement - 36 months,contract
Report: Operations performance indicators,report
"Hello, New message. Ref: REF-788582",email
Data analytics: analysis by department and region,report
Confidential agreement between Partner and Vendor,contract
Confidential agreement between company A and company B valid for 3 years,contract
Invoice number 4585 from August for hosting amount $3000,invoice
INV-2024-4727 - Support services - Total: $7500,invoice
Contract ID #32766: maintenance contract - 3 years,contract
Email alert: Your payment has been received. Transaction ID: REF-190121,email
Your payment has been received - Email notification received,email
Action required - Email notification received,email
Email alert: Notification. Transaction ID: REF-380376,email
Your subscription has been renewed for the next billing period,email
Contract ID #32481: non-disclosure agreement - 3 years,contract
Maintenance contract between Client and Tech Corp,contract
System notification: Reminder,email
INV-2024-1508 - Professional services - Total: $10000,invoice
Summary: Analysis overview March 2023,report
Executive summary of analytics by department,report
Signed service agreement effective 2024-11-12 through 5 years,contract
Analysis of expenses and expenses for February,report
"Contract: confidential agreement - Parties: Tech Corp, Vendor - Duration: 12 months",contract
INV-2024-1807 - Implementation - Total: $5000,invoice
Performance report: sales trends and projections,report
Email from notifications@platform.com: Account updated. Reference: REF-368854,email
INV-2024-0315 - For professional services - Total due $7500,invoice
Analysis of revenue and analytics for January,report
Signed non-disclosure agreement effective 2024-01-26 through 12 months,contract
"Dashboard of KPIs: Revenue, expenses, profitability by business line",report
Electronic invoice - Client: Tech Solutions - Amount: $4200,invoice
INVOICE - Vendor: IT Services - Amount: $7500 - Date: July,invoice
Email from noreply@company.com: Subscription renewed. Reference: REF-303081,email
You have a new email: Receipt,email
Contract ID #68753: lease agreement - 1 year,contract
Factura #5919 - Cloud Providers - $7500 (June),invoice
Email from billing@company.com: Receipt. Reference: REF-436437,email
License agreement between Company B and Organization,contract
Message: Order confirmed. Details sent to your account.,email
Non-disclosure agreement between Tech Corp and Organization,contract
Data analytics: metrics by department and region,report
INV-2024-8712 - Consulting services - Total: $1000,invoice
Automated email: Confirmation successfully,email
Invoice 9881: support services services rendered - Amount due $25000,invoice
Account updated - Email notification received,email
Operations daily revenue report - May 2023,report
Engineering monthly analysis report - June 2024,report
Email alert: Notification. Transaction ID: REF-418248,email
Electronic invoice from Digital Agency for $3000 (consulting services),invoice
License agreement between Company A and Company A,contract
Summary: Analysis overview April 2023,report
Order confirmed - Email notification received,email
Electronic invoice from Tech Solutions for $5000 (training),invoice
Analysis of statistics and revenue for May,report
Automated email: Notification successfully,email
Bill from Acme Inc for training totaling $10000 in July,invoice
Terms and conditions: service agreement for 3 years period,contract
"Contract: confidential agreement - Parties: Company B, Service Provider - Duration: 1 year",contract
Confidential agreement between Tech Corp and Partner,contract
Invoice number 001 from March with total amount of $5000 for consulting services,invoice
Daily analytics dashboard and KPIs,report
INVOICE - Vendor: Tech Solutions - Amount: $25000 - Date: May,invoice
Notification of account status change,email
Legal license agreement - Valid from 2024-09-07 for 2 years,contract
Analysis of performance and forecast for February,report
Bill from Cloud Providers for training totaling $3000 in December,invoice
Payment invoice #9758 - Implementation - $5000,invoice
INV-2024-9627 - Professional services - Total: $1000,invoice
Invoice 4995: consulting services services rendered - Amount due $20000,invoice
INVOICE - Vendor: Software House - Amount: $20000 - Date: September,invoice
Bill from Tech Solutions for consulting services totaling $2000 in August,invoice
Email alert: Status changed. Transaction ID: REF-665054,email
Analysis of expenses and statistics for January,report
Quarterly analysis of expenses by department and Q2 projections,report
Your order confirmed notification has been sent,email
"Hello, Update. Ref: REF-931660",email
INVOICE - Vendor: Consulting Group - Amount: $25000 - Date: July,invoice
Automated email: Subscription renewed successfully,email
"Hello, Subscription renewed. Ref: REF-667387",email
Bill from Data Analytics for software licenses totaling $1000 in May,invoice
Weekly KPIs dashboard and KPIs,report
Invoice for software development services rendered in March,invoice
Electronic invoice from Digital Agency for $3000 (development services),invoice
Legal lease agreement - Valid from 2024-03-19 for 12 months,contract
INV-2024-3577 - Consulting services - Total: $20000,invoice
INVOICE - Vendor: Acme Inc - Description: Licenses - Amount: $2000,invoice
"Contract: service agreement - Parties: Organization, Client - Duration: 5 years",contract
Factura #322 - Data Analytics - $10000 (July),invoice
Partnership agreement between Organization and Client,contract
Update - Email notification received,email
Analysis of performance and performance for January,report
"Contract: confidential agreement - Parties: Client, Vendor - Duration: 3 years",contract
Invoice number 5440 from January for consulting services amount $25000,invoice
Email alert: Reminder. Transaction ID: REF-466620,email
Contract ID #53382: confidential agreement - 36 months,contract
Electronic invoice from Tech Solutions for $3000 (maintenance),invoice
Payment invoice #3408 - Development services - $2000,invoice
Agreement document: non-disclosure agreement valid for 3 years,contract
Summary: Forecast overview June 2024,report
"Hello, Reminder. Ref: REF-159728",email
Analysis of sales and analytics for January,report
Factura #8633 - Global Services - $1000 (December),invoice
Report: HR performance indicators,report
Employment contract between Vendor and Company A valid for 2 years,contract
Electronic invoice from Tech Solutions for $25000 (support services),invoice
Service agreement between Service Provider and Vendor valid for 3 years,contract
License agreement between Vendor and Service Provider valid for 5 years,contract
Order confirmed - Email notification received,email
Invoice 476: professional services services rendered - Amount due $500,invoice
Performance report: revenue trends and projections,report
Invoice 8364: consulting services services rendered - Amount due $500,invoice
Data analytics: performance by department and region,report
Electronic invoice from Creative Studio for $3000 (implementation),invoice
Terms and conditions: maintenance contract for 3 years period,contract
Message: Dear customer your order has been shipped,email
"Hello, Account updated. Ref: REF-293726",email
Annual financial analysis and budget forecast,report
Legal document: Power of attorney for legal representation,contract
You have a new email: New message,email
Executive summary of March 2024 operations,report
Signed employment contract effective 2024-06-18 through 1 year,contract
Signed partnership agreement effective 2024-06-19 through 36 months,contract
Legal confidential agreement - Valid from 2024-12-05 for 3 years,contract
Terms and conditions: maintenance contract for 12 months period,contract
You have a new email: Order confirmed,email
Payment invoice #269 - Hosting - $25000,invoice
Message: Account updated. Details sent to your account.,email
Annual analysis dashboard and KPIs,report
Quarterly report: analysis analysis for February 2023,report
Email alert: Update. Transaction ID: REF-341165,email
Monthly sales report: Total invoiced $50000 in March,report
Summary: Analytics overview April 2024,report
Quarterly financial analysis and budget forecast,report
Signed maintenance contract effective 2024-12-23 through 5 years,contract
Invoice number 9724 from May for training amount $7500,invoice
Agreement document: lease agreement valid for 1 year,contract
"Hello, Action required. Ref: REF-986044",email
"Hello, Action required. Ref: REF-345921",email
Signed service agreement effective 2024-03-06 through 1 year,contract
INVOICE - Vendor: Digital Agency - Amount: $3000 - Date: February,invoice
Executive summary of expenses by department,report
Agreement document: employment contract valid for 36 months,contract
Your account updated notification has been sent,email
Legal employment contract - Valid from 2024-07-24 for 1 year,contract
Quarterly performance dashboard and KPIs,report
Electronic invoice from Software House for $3000 (maintenance),invoice
Invoice 3798: support services services rendered - Amount due $20000,invoice
Factura #756 - IT Services - $20000 (August),invoice
Notification - Email notification received,email
Data analytics: expenses by department and region,report
Bill from IT Services for development services totaling $5000 in August,invoice
Product annual revenue report - January 2023,report
System notification: Order confirmed,email
Bi-weekly sales dashboard and KPIs,report
Daily report: metrics analysis for June 2023,report
Legal lease agreement - Valid from 2024-05-20 for 36 months,contract
Automated email: Subscription renewed successfully,email
Payment invoice #3825 - Development services - $10000,invoice
Automated email: New message successfully,email
Financial performance analysis and budget forecast for next quarter,report
Signed partnership agreement effective 2024-11-16 through 5 years,contract
INV-2024-5158 - Support services - Total: $3000,invoice
Your new message notification has been sent,email
Your action required notification has been sent,email
Electronic invoice from Creative Studio for $25000 (analysis),invoice
Operations annual analysis report - April 2024,report
Analysis of forecast and metrics for April,report
Executive summary of revenue by department,report
Electronic invoice from Digital Agency for $1000 (maintenance),invoice
You have a new email: Notification,email
Invoice 3802: development services services rendered - Amount due $7500,invoice
Marketing bi-weekly metrics report - May 2023,report
Data analytics: forecast by department and region,report
Bill from Acme Inc for implementation totaling $5000 in February,invoice
Terms and conditions for technology services contracting,contract
Email from billing@company.com: Order confirmed. Reference: REF-574535,email
Non-disclosure agreement between Client and Tech Corp,contract
Analysis of forecast and metrics for June,report
Terms and conditions: service agreement for 10 years period,contract
Lease agreement valid for 12 months starting from 2024-03-01,contract
Legal service agreement - Valid from 2024-12-25 for 2 years,contract
License agreement between Tech Corp and Client,contract
Report: Support performance indicators,report
"Contract: partnership agreement - Parties: Partner, Company A - Duration: 10 years",contract
Message: Update. Details sent to your account.,email
Monthly sales dashboard and KPIs,report
Order confirmed - Email notification received,email
Data analytics: KPIs by department and region,report
Employment contract between Organization and Company B,contract
Monthly report: performance analysis for March 2024,report
Legal lease agreement - Valid from 2024-01-21 for 24 months,contract
Executive summary of analytics by department,report
Invoice 2480: support services services rendered - Amount due $10000,invoice
Message: Receipt. Details sent to your account.,email
INVOICE - Vendor: Data Analytics - Amount: $5000 - Date: October,invoice
Summary: Statistics overview April 2024,report
Signed license agreement effective 2024-01-13 through 3 years,contract
